timestamp,test-class,test-method,time,description,result
2021-06-24 15:09:43.627,acme.testing.anonymous.shouts.ShoutCreateTest,createPositive,3984,"[1] recordIndex=0, author=Shout Test, text=Esto es una prueba, info=https://www.test.com/, deadline=2022/09/16 17:00, budget=USD 80.00, important=true",OK
2021-06-24 15:09:47.512,acme.testing.anonymous.shouts.ShoutCreateTest,createPositive,3666,"[2] recordIndex=0, author=Prueba prueba, text=Esto es una prueba2, info=https://www.test2.com/, deadline=2022/10/16 17:00, budget=EUR 80.00, important=false",OK
2021-06-24 15:09:50.211,acme.testing.anonymous.shouts.ShoutCreateTest,createNegative,2474,"[1] author=Shout Test, text=sex, info=https://www.test.com/, deadline=2020/09/16 17:00, budget=USD 80.00, important=true",OK
2021-06-24 15:09:52.684,acme.testing.anonymous.shouts.ShoutCreateTest,createNegative,2254,"[2] author=Prueba prueba, text=Esto es una prueba2, info=.test2.com/, deadline=2020/09/16 17:00, budget=CCC 80.00, important=false",OK
