timestamp,test-class,test-method,time,description,result
2021-06-08 16:55:57.664,acme.testing.manager.task.ManagerTaskListTest,list,10061,"[1] recordIndex=0, title=Create a Causes functionality, startPeriod=2021/05/01 18:00, endPeriod=2022/05/05 18:30, workload=96.30, description=As a client, we can create a cause that contains a name and description (string), a budget target (numeric), and an acti-ve non profit organization (string) that will use the budget for the cause., link=http://www.spring.com, isPublic=true",OK
2021-06-08 16:56:05.761,acme.testing.manager.task.ManagerTaskListTest,list,7502,"[2] recordIndex=1, title=Repair the web, startPeriod=2021/04/25 14:00, endPeriod=2022/05/01 19:00, workload=15.00, description=the website is down it need to be repair, link=null, isPublic=true",OK
2021-06-08 16:56:13.54,acme.testing.manager.task.ManagerTaskListTest,list,7479,"[3] recordIndex=2, title=Finish class, startPeriod=2021/04/25 12:00, endPeriod=2022/05/01 12:00, workload=10.00, description=Finish the class Adoptions, link=null, isPublic=false",OK
2021-06-08 16:56:22.478,acme.testing.manager.task.ManagerTaskListTest,list,8459,"[4] recordIndex=3, title=Initiate starter, startPeriod=2021/04/01 14:00, endPeriod=2022/04/18 14:00, workload=5.50, description=Initiate starter in github repository master branch, link=null, isPublic=true",OK
2021-06-08 16:56:30.91,acme.testing.manager.task.ManagerTaskListTest,list,7904,"[5] recordIndex=4, title=Implement SonarCloud, startPeriod=2021/05/03 19:25, endPeriod=2022/05/03 21:00, workload=2.35, description=Implement SonarCloud in project, link=http://www.sonarcloud.com, isPublic=true",OK
2021-06-08 16:56:40.467,acme.testing.manager.task.ManagerTaskListTest,list,9077,"[6] recordIndex=5, title=Bring a laptop, startPeriod=2021/05/02 12:00, endPeriod=2022/05/03 08:00, workload=2.20, description=Bring your personal laptop to the office, link=null, isPublic=true",OK
